SeniorCitizen,tenure,MonthlyCharges,TotalCharges,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
0,0.27062785436461334,-0.16481581841684595,0.02828769434687424,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
0,0.7190771894059946,-0.7217670750668049,-0.03162528088739845,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
0,-1.156256393494327,0.02637640401522954,-0.9011354962074763,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
0,-1.1970245148617253,-1.464922930954959,-0.9804165098274972,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1
0,-1.156256393494327,0.5118383948862388,-0.8646715241668825,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0,-0.6670389370855474,0.8659596416517349,-0.3695071077148494,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
0,-1.2785607575965219,-1.5214493271522684,-0.9974021471361827,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1
1,-1.1154882721269286,0.6631296317672725,-0.8326194059727005,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
0,-1.2377926362291236,0.33893412416505747,-0.9388347873250655,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,-0.38166208751375935,0.04965197892000404,-0.329094526481717,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1
0,-1.2785607575965219,-0.6469527271586015,-0.9857989715201195,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0,-1.2785607575965219,-0.6469527271586015,-0.9857989715201195,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0.02601912616022359,-1.3468825153664603,-0.6358507244227323,0,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0
0,0.5560047039364014,-0.8813710172709722,-0.23134990451446263,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
1,-0.6670389370855474,0.7263061922230885,-0.4406261917190083,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
0,1.0044540389777827,-0.24129270738967604,0.4351047375245101,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0
0,1.045222160345181,0.709680781576821,1.151832454143346,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,0
1,-0.6262708157181491,0.924148578913671,-0.2934026288642451,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
0,-1.033952029392132,1.0455140766314235,-0.7235583788893997,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
0,1.330599009916969,0.5899778249236957,1.2950412299978744,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0
0,-1.0747201507595303,-0.31943213742713306,-0.8633259087437268,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,-0.38166208751375935,0.6481667621856316,-0.13748771393205073,1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,-1.2785607575965219,-1.4798858005365998,-0.9968506654053813,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1
0,-0.8301114225551406,0.7246436511584617,-0.5350839825706858,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
0,-1.2785607575965219,0.3505719116174445,-0.972563409980884,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1,1.615975859488757,0.6548169264441387,1.5971429221309252,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0
0,1.045222160345181,0.1211412446989542,0.7467139746965785,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0
0,-0.6262708157181491,-1.5098115396998812,-0.8703407563595217,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1
0,1.2490627671821724,-1.504823916506001,-0.4697003085668624,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0
0,1.615975859488757,0.5334514287263863,1.5215678657418905,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0
0,-0.8301114225551406,-1.4981737522474938,-0.8906794025914803,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1
0,-1.2785607575965219,-1.4682480130842126,-0.9966962505207568,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1
0,1.208294645814774,1.3547467146519976,1.8562731577999245,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
0,-1.2785607575965219,0.18431780515477017,-0.97476933690409,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0,0.31139597573201167,0.5334514287263863,0.37633884429030445,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
0,-1.2377926362291236,1.0272261249205292,-0.931974354593895,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
1,-0.014748995207174704,-0.3360575480734005,-0.19837129701253411,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,1.1267584030799775,0.8709472648456154,1.4001757071578684,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0
0,-0.9524157866573355,0.13942919640984827,-0.743786728775198,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1
0,-1.1970245148617253,-0.6802035484511364,-0.9464452352101259,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,-0.8301114225551406,-1.4499600613733186,-0.8707598824749309,1,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0
0,-0.38166208751375935,0.3405966652296841,-0.2211364628600192,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,-0.1778214806767679,-0.9644980705023094,-0.5816290406503307,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1
0,-1.0747201507595303,0.6531543853795121,-0.7603311806992424,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
0,-0.38166208751375935,-1.3285945636555663,-0.7343012430054126,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0
0,1.5752077381213587,1.6091154975398896,2.503072990953133,1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0
0,-0.1778214806767679,-0.16149073628759242,-0.27575521347859777,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0
0,-0.8708795439225389,-0.16980344161072614,-0.7043447553882761,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
1,-1.2785607575965219,0.6747674192196594,-0.9682618524806325,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
0,1.452903374019164,1.0089381732096347,1.942833730266525,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
0,-0.5447345729833526,-1.4915235879889872,-0.843626981319498,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1
0,0.6783090680385964,-0.4191846013047376,0.13412806812229436,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0,-0.46319833024855595,-0.9861111043424571,-0.6658954491167969,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
1,-1.156256393494327,0.9823375161756069,-0.8185235329334146,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
1,0.5967728253037997,-0.1714659826753528,0.20923987985745596,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0,-1.1970245148617253,-1.4998362933121208,-0.9756296484041403,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1
0,-0.748575179820344,0.35223445268207115,-0.5531505240717424,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,-0.8301114225551406,-1.4782232594719733,-0.9067385505924194,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0
0,-0.2185896020441662,-1.4865359647951069,-0.7618532702762545,1,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0
0,1.5752077381213587,-1.3601828438834742,-0.2680785877858412,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1
0,-1.2785607575965219,-0.4657357511142864,-0.9833945111738251,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,0.47446846120160485,0.6780925013489132,0.6135862848811012,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
0,-1.2377926362291236,-0.6569279735463619,-0.9632323390957231,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0,-1.2785607575965219,-0.46407321004965973,-0.983372451904593,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
1,0.4337003398342065,1.5293135264378057,1.0624482952150418,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0
0,-0.9524157866573355,0.7861576705496516,-0.6578658751163274,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
0,-1.2785607575965219,-0.6918413359035234,-0.9863945717893853,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,-0.055517116574573,-0.1897539343862471,-0.1751208272419437,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
0,-0.055517116574573,-1.4748981773427197,-0.73705865165942,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0
0,0.5560047039364014,-1.4898610469243603,-0.6056074663055792,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0
0,1.045222160345181,-1.311969153009299,-0.3553229975986354,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0
0,-0.8301114225551406,-1.5147991628937614,-0.9003413625151222,1,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0
0,1.615975859488757,1.4395363089479614,2.4383731542955034,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0
0,-0.30012584477896276,-1.5014988343767475,-0.8243912985491423,1,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0
0,1.615975859488757,0.8293837382299468,1.901163770687165,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0
1,-1.2377926362291236,0.9723622697878466,-0.9256212850550621,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
1,-0.3408939661463611,-1.0143743024411118,-0.6403949338845365,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
0,0.5152365825690032,0.8160834097129326,0.7663908428515753,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0
0,0.9636859176103844,-1.4482975203086916,-0.45931039275856245,1,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1
0,1.615975859488757,0.8709472648456154,1.92917904261188,0,1,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
0,0.5967728253037997,-1.3369072689787,-0.49381108983750305,1,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1
0,-0.5447345729833526,-0.21801713248490154,-0.5446356461481675,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0,-0.7893433011877423,0.5068507716923585,-0.5516504937639624,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0,0.8821496748755878,-0.6502778092878548,0.07977402873450055,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
0,-1.156256393494327,-1.311969153009299,-0.9541880387105788,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0
0,-1.2785607575965219,-0.6469527271586015,-0.9857989715201195,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
0,0.6783090680385964,1.4777747534343766,1.3282845487305874,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,0,0
1,-0.2185896020441662,0.1926305104779039,-0.14816440024036728,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0,-0.9524157866573355,1.1153408013457464,-0.5983499667282316,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
0,-0.4224302088811577,-0.351020417655041,-0.49723027656847224,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
1,1.5752077381213587,1.1602294100906687,2.060961117004202,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0
0,1.2490627671821724,1.3514216325227444,1.955981054728832,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0
1,-0.014748995207174704,0.884247593362629,0.27213085643805685,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
0,-1.2785607575965219,0.32729633671267,-0.9728722397501329,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1,-1.156256393494327,0.26578231732148067,-0.865598013474629,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1.4936714953865622,-1.5181242450230148,-0.4459865941423987,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1
0,-0.3408939661463611,-0.21302950929102135,-0.41155207487115425,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0
1,-1.156256393494327,1.1585668690260418,-0.8524065704738575,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
0,0.8821496748755878,1.175192279672309,1.3946608898498536,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0
0,-1.156256393494327,0.18764288728402392,-0.8818115763601925,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,-1.033952029392132,-0.6685657609987491,-0.8635023828975833,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,0.47446846120160485,0.8127583275836794,0.776692521582947,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
1,-1.1154882721269286,0.15272952492686195,-0.8550757420509367,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0,-1.033952029392132,0.14109173747447493,-0.782147797969749,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1,1.452903374019164,1.3480965503934905,2.214714223551655,1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0
0,0.27062785436461334,-0.2944940214577319,-0.042081374503394636,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
0,0.18909161162981677,-1.2737307085228835,-0.6036000728054618,0,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1
0,1.5344396167539605,1.3730346663628916,2.326951785404372,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
0,1.0044540389777827,-1.4632603898903325,-0.5121864611078084,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1
0,-0.6262708157181491,0.9673746465939662,-0.28857164890242415,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
0,-1.2377926362291236,-0.4590855868557793,-0.9514968078642675,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1.2898308885495708,1.3181708112302095,1.9596870119598186,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0
0,0.6783090680385964,1.3929851591384128,1.2770629255737462,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0
0,1.5344396167539605,1.5426138549548198,2.4079093034860293,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1
0,0.06678724752762188,-1.48487342373048,-0.7048521185806136,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0
0,-0.5855026943507509,-1.4832108826658534,-0.8333473618573585,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0
1,-0.2593577234115645,0.46694978614131655,-0.12072266931568572,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
0,-0.6670389370855474,0.5317888876617596,-0.42284642071796863,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-1.2785607575965219,-1.48487342373048,-0.9969168432130775,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1
0,0.27062785436461334,-0.4657357511142864,-0.11838438677708736,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0
0,1.0044540389777827,0.17766764089626308,0.7207060962719809,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
0,1.208294645814774,1.688917468641973,2.152683558471104,1,1,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0
0,0.9636859176103844,1.0704521926008246,1.3908225770034752,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0
0,0.06678724752762188,-0.1299024560596842,-0.12182563277728868,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,-0.014748995207174704,-1.4915235879889872,-0.7403896013134609,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0
0,0.6783090680385964,1.1037030138933595,1.1639209336825143,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0
0,-0.3408939661463611,0.704693158382941,-0.07614088619769398,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0
0,-0.9931839080247338,-0.281193692940718,-0.8286487375109298,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,-0.5855026943507509,-1.4948486701182406,-0.8547669122816879,1,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0
0,-1.2785607575965219,-0.5239246883762224,-0.9841665855969473,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1,0.10755536889502018,1.2400313811927521,0.5174299302985552,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
0,-0.8708795439225389,-1.5031613754413744,-0.9073341508616849,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0
0,-1.156256393494327,-0.663578137804869,-0.9309375689399882,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0.10755536889502018,-1.48487342373048,-0.7214406890431221,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0
0,-1.0747201507595303,0.8227335739714398,-0.7528530884295743,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
1,-1.033952029392132,0.6514918443148849,-0.7368159996978673,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
0,1.615975859488757,1.7770321450671904,2.765092990891532,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0
0,-0.8708795439225389,0.49022536104609105,-0.654755518154607,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0,-0.3408939661463611,-1.4732356362780927,-0.7731255568538368,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0
1,-1.1970245148617253,-0.9412224955975349,-0.9644455989034864,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
0,0.7598453107733929,1.3979727823322927,1.4202055236205784,1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0
0,1.1267584030799775,1.2101056420294711,1.6710635333275554,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0
1,1.5752077381213587,-0.41419697811085743,0.6553003629989252,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0
0,-1.2785607575965219,-1.5031613754413744,-0.99715949517463,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0
1,1.1267584030799775,0.821071032906813,1.3301154680768486,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,0.27062785436461334,0.5700273321481749,0.4147219727540875,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
0,-1.1970245148617253,-1.4998362933121208,-0.9790267758658774,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1
0,-1.2785607575965219,-0.6353149397062142,-0.9856445566354951,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
